"variable","value","L1","iteration"
"Batch",0.994953742640875,"lasso",1
"ComBat",0.984020185029437,"lasso",1
"Avg",0.947855340622372,"lasso",1
"n_Avg",0.956265769554247,"lasso",1
"CS_Avg",0.978973927670311,"lasso",1
"Reg_a",0.960470984020185,"lasso",1
"Reg_s",0.96215306980656,"lasso",1
"Batch",0.982338099243061,"rf",1
"ComBat",0.982338099243061,"rf",1
"Avg",0.984861227922624,"rf",1
"n_Avg",0.988225399495374,"rf",1
"CS_Avg",0.985702270815812,"rf",1
"Reg_a",0.988225399495374,"rf",1
"Reg_s",0.985702270815812,"rf",1
"Batch",0.921783010933558,"svm",1
"ComBat",0.994953742640875,"svm",1
"Avg",0.989066442388562,"svm",1
"n_Avg",0.989066442388562,"svm",1
"CS_Avg",0.989066442388562,"svm",1
"Reg_a",0.989066442388562,"svm",1
"Reg_s",0.989066442388562,"svm",1
"Batch",0.982338099243061,"crossmod",1
"ComBat",0.982338099243061,"crossmod",1
"Avg",0.984020185029437,"crossmod",1
"n_Avg",0.987384356602187,"crossmod",1
"CS_Avg",0.989066442388562,"crossmod",1
"Reg_a",0.989066442388562,"crossmod",1
"Reg_s",0.989066442388562,"crossmod",1
"Batch",0.992598684210526,"lasso",2
"ComBat",0.974506578947368,"lasso",2
"Avg",0.908717105263158,"lasso",2
"n_Avg",0.918585526315789,"lasso",2
"CS_Avg",0.976973684210526,"lasso",2
"Reg_a",0.933388157894737,"lasso",2
"Reg_s",0.9375,"lasso",2
"Batch",0.972039473684211,"rf",2
"ComBat",0.959703947368421,"rf",2
"Avg",0.965460526315789,"rf",2
"n_Avg",0.965460526315789,"rf",2
"CS_Avg",0.974506578947368,"rf",2
"Reg_a",0.965460526315789,"rf",2
"Reg_s",0.974506578947368,"rf",2
"Batch",0.813322368421053,"svm",2
"ComBat",0.997532894736842,"svm",2
"Avg",0.982730263157895,"svm",2
"n_Avg",0.985197368421053,"svm",2
"CS_Avg",0.987664473684211,"svm",2
"Reg_a",0.985197368421053,"svm",2
"Reg_s",0.986019736842105,"svm",2
"Batch",0.972039473684211,"crossmod",2
"ComBat",0.959703947368421,"crossmod",2
"Avg",0.972861842105263,"crossmod",2
"n_Avg",0.979440789473684,"crossmod",2
