"variable","value","L1","iteration"
"Batch",0.936708860759494,"lasso",1
"ComBat",0.902439024390244,"lasso",1
"Avg",0.878048780487805,"lasso",1
"n_Avg",0.9,"lasso",1
"CS_Avg",0.987951807228916,"lasso",1
"Reg_a",0.9,"lasso",1
"Reg_s",0.911392405063291,"lasso",1
"Batch",0.962962962962963,"rf",1
"ComBat",0.951219512195122,"rf",1
"Avg",0.951219512195122,"rf",1
"n_Avg",0.951219512195122,"rf",1
"CS_Avg",0.951219512195122,"rf",1
"Reg_a",0.951219512195122,"rf",1
"Reg_s",0.951219512195122,"rf",1
"Batch",0.888888888888889,"svm",1
"ComBat",0.962962962962963,"svm",1
"Avg",0.962962962962963,"svm",1
"n_Avg",0.962962962962963,"svm",1
"CS_Avg",0.939759036144578,"svm",1
"Reg_a",0.962962962962963,"svm",1
"Reg_s",0.95,"svm",1
"Batch",0.962962962962963,"crossmod",1
"ComBat",0.951219512195122,"crossmod",1
"Avg",0.962962962962963,"crossmod",1
"n_Avg",0.962962962962963,"crossmod",1
"CS_Avg",0.962962962962963,"crossmod",1
"Reg_a",0.962962962962963,"crossmod",1
"Reg_s",0.962962962962963,"crossmod",1
"Batch",0.96969696969697,"lasso",2
"ComBat",0.864864864864865,"lasso",2
"Avg",0.75,"lasso",2
"n_Avg",0.848484848484849,"lasso",2
"CS_Avg",0.888888888888889,"lasso",2
"Reg_a",0.848484848484849,"lasso",2
"Reg_s",0.8,"lasso",2
"Batch",0.878787878787879,"rf",2
"ComBat",0.840579710144927,"rf",2
"Avg",0.885714285714286,"rf",2
"n_Avg",0.873239436619718,"rf",2
"CS_Avg",0.885714285714286,"rf",2
"Reg_a",0.873239436619718,"rf",2
"Reg_s",0.911764705882353,"rf",2
"Batch",0.67741935483871,"svm",2
"ComBat",0.984615384615385,"svm",2
"Avg",0.939393939393939,"svm",2
"n_Avg",0.939393939393939,"svm",2
"CS_Avg",0.901408450704225,"svm",2
"Reg_a",0.939393939393939,"svm",2
"Reg_s",0.96875,"svm",2
"Batch",0.878787878787879,"crossmod",2
"ComBat",0.840579710144927,"crossmod",2
"Avg",0.898550724637681,"crossmod",2
"n_Avg",0.898550724637681,"crossmod",2
"CS_Avg",0.885714285714286,"crossmod",2
"Reg_a",0.939393939393939,"crossmod",2
"Reg_s",0.96875,"crossmod",2
"Batch",0.929577464788732,"lasso",3
"ComBat",0.909090909090909,"lasso",3
"Avg",0.810810810810811,"lasso",3
"n_Avg",0.826666666666667,"lasso",3
"CS_Avg",0.921052631578947,"lasso",3
"Reg_a",0.826666666666667,"lasso",3
